,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
77019|ZNF90,0.933606824550618,Homo sapiens,ZNF90,tf,293T,None,None,0,ZNF90
38838|LHX3,0.933716010421587,Homo sapiens,LHX3,tf,LoVo,None,Colon,0,LHX3
64420|PRDM12,0.933830487311099,Homo sapiens,PRDM12,,HEK293,Epithelium,Embryonic Kidney,1,PRDM12
68802|OVOL2,0.933933469394576,Homo sapiens,OVOL2,tf,HCE-T,Epithelium,Corneal Epithelium,0,OVOL2
44349|PPARD,0.933945133024845,Homo sapiens,PPARD,tf,None,Endothelial Cell,Umbilical Vein,1,PPARD
77094|ZNF550,0.933998300503961,Homo sapiens,ZNF550,tf,293T,None,None,1,ZNF550
4|EGR1,0.934396382280852,Homo sapiens,EGR1,tf,K562,Erythroblast,Bone Marrow,0,EGR1
74822|KMT2D,0.934458854133392,Homo sapiens,KMT2D,cr,T47D,None,Breast,1,KMT2D
43678|PARP1,0.934581662630077,Homo sapiens,PARP1,not sure,T47D-MTVL,Epithelium,Mammary Gland,0,PARP1
73948|ZNF419,0.9346453434406,Homo sapiens,ZNF419,,293T,None,None,0,ZNF419
42723|HOXB4,0.934675317076585,Homo sapiens,HOXB4,tf,LoVo,None,Colon,0,HOXB4
72450|NCOA1,0.934756679653728,Homo sapiens,NCOA1,cr,U2OS,None,Bone,1,NCOA1
72907|TBX5,0.934855900729016,Homo sapiens,TBX5,tf,None,Cardiomyocyte,None,1,TBX5
38846|CEBPZ,0.934868731993305,Homo sapiens,CEBPZ,tf,LoVo,None,Colon,0,CEBPZ
50900|MITF,0.935009403548431,Homo sapiens,MITF,tf,6540 cells,Epithelium,None,0,MITF
77108|ZNF485,0.935011786205617,Homo sapiens,ZNF485,other,293T,None,None,1,ZNF485
44757|DICER1,0.935041075634309,Homo sapiens,DICER1,not sure,HEK293,Epithelium,Embryonic Kidney,0,DICER1
42734|MYOD1,0.935288133837289,Homo sapiens,MYOD1,tf,LoVo,None,Colon,0,MYOD1
38781|NEUROG3,0.935338971623167,Homo sapiens,NEUROG3,tf,LoVo,None,Colon,0,NEUROG3
65059|ZFP82,0.935397649045356,Homo sapiens,ZFP82,,HEK293,Epithelium,Embryonic Kidney,0,ZFP82
42869|TCFL5,0.935469051777359,Homo sapiens,TCFL5,tf,LoVo,None,Colon,0,TCFL5
76684|CDKN1B,0.935591459495186,Homo sapiens,CDKN1B,other,MM1.S,B Lymphocyte,Blood,1,CDKN1B
77168|ZNF17,0.935648584178091,Homo sapiens,ZNF17,tf,293T,None,None,1,ZNF17
73412|SREBF2,0.935813010807855,Homo sapiens,SREBF2,tf,PANC-1,None,None,1,SREBF2
77171|ZNF157,0.935829964691206,Homo sapiens,ZNF157,tf,293T,None,None,1,ZNF157
65161|ZNF774,0.935998323349056,Homo sapiens,ZNF774,,HEK293,Epithelium,Embryonic Kidney,0,ZNF774
54616|SOX9,0.936274679968027,Homo sapiens,SOX9,tf,CyT49,Embryonic Stem Cell,Embryo,1,SOX9
